Status,Address,Interior,Renter CID,Renter Name,Phone,Income,Cost
Empty,Eclipse Boulevard 3 / Apt2,Motel,N/A,N/A,N/A,$0,$500
Empty,Eclipse Boulevard 3 / Apt3,Motel,N/A,N/A,N/A,$0,$500
Empty,Eclipse Boulevard 3 / Apt4,Motel,N/A,N/A,N/A,$0,$500
Overdue,Eclipse Boulevard 4,Trevor's Beach House,1127,Jaxon Foster,777-3638,$7,500,$5,000
Empty,Eclipse Boulevard 5,Trevor's Beach House,N/A,N/A,N/A,$0,$5,000
Empty,Eclipse Boulevard 6,Motel,N/A,N/A,N/A,$0,$500
Empty,Eclipse Boulevard 7,Motel,N/A,N/A,N/A,$0,$500
Evictable,Brouge Avenue 1,Mid-End Apartment (House),123,Kai Sledge,852-7507,$5,700,$4,500
Empty,Brouge Avenue 2,Mid-End Apartment (House),N/A,N/A,N/A,$0,$4,500
Paid 8/8/2026,Brouge Avenue 3,Mid-End Apartment (House),58,Tarek Tia,531-6796,$5,700,$4,500
Paid 8/29/2026,Brouge Avenue 4,Mid-End Apartment (House),98,Mugiwara Luffy,354-5496,$5,700,$4,500
Paid 8/22/2026,Brouge Avenue 5,Mid-End Apartment (House),108,Mn Kuddus,823-2132,$5,700,$4,500
Overdue,Brouge Avenue 6,Mid-End Apartment (House),402,Gnja Ibrahim,415-3729,$5,700,$4,500
Paid 8/8/2026,Brouge Avenue 7,Mid-End Apartment (House),259,Dark Santiago,673-9417,$5,700,$4,500
Overdue,Brouge Avenue 8,Mid-End Apartment (House),770,Ancient Nexy,112-9922,$5,700,$4,500
Paid 8/13/2026,Brouge Avenue 9,Mid-End Apartment (House),1232,Mac Draven,315-9995,$5,700,$4,500
Overdue,Brouge Avenue 10,Mid-End Apartment (House),2325,Ayan Mallik,114-5090,$5,700,$4,500
Overdue,Clinton Ave / Apt1,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Overdue,Clinton Ave / Apt2,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt3,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/12/2026,Clinton Ave / Apt4,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/12/2026,Clinton Ave / Apt5,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt6,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/26/2026,Clinton Ave / Apt7,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/19/2026,Clinton Ave / Apt8,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/12/2026,Clinton Ave / Apt9,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt10,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Overdue,Clinton Ave / Apt11,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/12/2026,Clinton Ave / Apt12,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Overdue,Clinton Ave / Apt13,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/19/2026,Clinton Ave / Apt14,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/26/2026,Clinton Ave / Apt15,Low-End Apartment,119,Sumsul Arefin,165-2196,$2,175,$2,000
Paid 8/12/2026,Clinton Ave / Apt16,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/12/2026,Clinton Ave / Apt17,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/26/2026,Clinton Ave / Apt18,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Overdue,Clinton Ave / Apt19,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt20,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 8/19/2026,Clinton Ave / Apt21,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt22,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
Paid 9/2/2026,Clinton Ave / Apt23,Janitor Apartment,119,Sumsul Arefin,165-2196,$2,175,$1,500
